"﻿""Perioden""","""Regio's""","""Bevolking aan het begin van de periode (aantal)""","""Levend geboren kinderen (aantal)""","""Overledenen (aantal)""","""Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)""","""Bevolkingsgroei/Bevolkingsgroei, relatief (%)"""
"""2020""","""Noorder-Koggenland""",,,,,
"""2021*""","""Noorder-Koggenland""",,,,,
"""2019""","""Noordoostpolder""",46849,556,355,1950,"0,94"
"""2020""","""Noordoostpolder""",47291,516,393,2056,"0,62"
"""2021*""","""Noordoostpolder""",47583,573,434,2256,"0,98"
"""2019""","""Noordwijk""",42859,347,385,1580,"1,51"
"""2020""","""Noordwijk""",43508,381,415,1660,"1,27"
"""2021*""","""Noordwijk""",44062,401,449,1711,"0,68"
"""2019""","""Noordwijkerhout""",,,,,
"""2020""","""Noordwijkerhout""",,,,,
"""2021*""","""Noordwijkerhout""",,,,,
"""2019""","""Nuenen, Gerwen en Nederwetten""",23186,206,189,906,"0,85"
"""2020""","""Nuenen, Gerwen en Nederwetten""",23383,222,211,1003,"1,36"
"""2021*""","""Nuenen, Gerwen en Nederwetten""",23702,202,210,1033,"0,53"
"""2019""","""Nunspeet""",27481,329,246,913,"1,35"
"""2020""","""Nunspeet""",27851,334,345,1036,"0,61"
"""2021*""","""Nunspeet""",28021,368,278,963,"0,71"
"""2019""","""Nuth""",,,,,
"""2020""","""Nuth""",,,,,
"""2021*""","""Nuth""",,,,,
"""2019""","""Obdam""",,,,,
"""2020""","""Obdam""",,,,,
"""2021*""","""Obdam""",,,,,
"""2019""","""Oegstgeest""",24426,248,205,1425,"1,69"
"""2020""","""Oegstgeest""",24840,232,266,1565,"0,9"
"""2021*""","""Oegstgeest""",25064,228,210,1460,"1,73"
"""2019""","""Oirschot""",18623,151,187,609,"0,49"
"""2020""","""Oirschot""",18714,146,225,677,"0,68"
"""2021*""","""Oirschot""",18842,170,178,601,"1,16"
"""2019""","""Oisterwijk""",26140,200,293,1314,"0,4"
"""2020""","""Oisterwijk""",26245,206,284,1337,"1,16"
"""2021*""","""Oisterwijk""",32373,348,384,1715,"0,43"
"""2019""","""Oldambt""",38129,308,456,1486,"0,21"
"""2020""","""Oldambt""",38209,291,495,1477,"0,18"
"""2021*""","""Oldambt""",38277,290,565,1460,"0,6"
"""2019""","""Oldebroek""",23598,284,173,955,"0,2"
"""2020""","""Oldebroek""",23646,239,244,910,"0,48"
"""2021*""","""Oldebroek""",23760,262,199,907,"0,72"
"""2019""","""Oldenzaal""",31840,261,347,983,"-0,01"
"""2020""","""Oldenzaal""",31836,224,350,944,"-0,42"
"""2021*""","""Oldenzaal""",31701,279,387,834,"0,14"
"""2019""","""Olst""",,,,,
"""2020""","""Olst""",,,,,
"""2021*""","""Olst""",,,,,
"""2019""","""Olst-Wijhe""",18071,162,174,713,1
"""2020""","""Olst-Wijhe""",18252,172,199,752,"0,6"
"""2021*""","""Olst-Wijhe""",18361,157,208,676,"0,75"
"""2019""","""Ommen""",17813,171,139,740,"1,1"
"""2020""","""Ommen""",18009,166,181,778,"1,59"
"""2021*""","""Ommen""",18295,171,175,626,"0,95"
"""2019""","""Onderbanken""",,,,,
"""2020""","""Onderbanken""",,,,,
"""2021*""","""Onderbanken""",,,,,
"""2019""","""Oost Gelre""",29704,253,294,1034,"-0,26"
"""2020""","""Oost Gelre""",29627,282,316,978,"-0,18"
"""2021*""","""Oost Gelre""",29574,276,320,917,"0,11"
"""2019""","""Oostburg""",,,,,
"""2020""","""Oostburg""",,,,,
"""2021*""","""Oostburg""",,,,,
"""2019""","""Oosterhout""",55616,493,500,2051,"0,66"
"""2020""","""Oosterhout""",55982,546,582,2134,"0,4"
"""2021*""","""Oosterhout""",56206,545,577,2068,"0,58"
"""2019""","""Oostflakkee""",,,,,
"""2020""","""Oostflakkee""",,,,,
"""2021*""","""Oostflakkee""",,,,,
"""2019""","""Ooststellingwerf""",25497,210,280,1037,"-0,11"
"""2020""","""Ooststellingwerf""",25469,188,276,1103,"-0,02"
"""2021*""","""Ooststellingwerf""",25464,202,313,964,"0,85"
"""2019""","""Oostzaan""",9757,90,76,423,"-0,23"
"""2020""","""Oostzaan""",9735,78,91,423,"-0,47"
"""2021*""","""Oostzaan""",9689,83,93,392,"-0,46"
"""2019""","""Opmeer""",11779,104,90,465,"0,48"
"""2020""","""Opmeer""",11836,115,97,449,"1,46"
"""2021*""","""Opmeer""",12009,111,95,492,"0,54"
"""2019""","""Opsterland""",29723,274,274,1419,"0,03"
"""2020""","""Opsterland""",29733,258,290,1323,"0,27"
"""2021*""","""Opsterland""",29812,280,297,1324,"-0,08"
"""2019""","""Oss""",91451,878,758,2906,"0,51"
"""2020""","""Oss""",91915,840,924,2777,"0,66"
"""2021*""","""Oss""",92526,892,872,2828,"0,85"
"""2019""","""Oud-Beijerland""",,,,,
"""2020""","""Oud-Beijerland""",,,,,
"""2021*""","""Oud-Beijerland""",,,,,
"""2019""","""Oude IJsselstreek""",39473,295,468,1355,"-0,22"
"""2020""","""Oude IJsselstreek""",39388,317,524,1270,"-0,11"
"""2021*""","""Oude IJsselstreek""",39346,282,509,1213,"0,1"
"""2019""","""Ouder-Amstel""",13916,147,97,801,"0,79"
"""2020""","""Ouder-Amstel""",14026,130,92,924,"0,71"
"""2021*""","""Ouder-Amstel""",14125,157,121,948,"0,57"
"""2019""","""Ouderkerk""",,,,,
"""2020""","""Ouderkerk""",,,,,
"""2021*""","""Ouderkerk""",,,,,
"""2019""","""Oudewater""",10201,118,82,306,"0,28"
"""2020""","""Oudewater""",10230,83,86,374,"-0,9"
"""2021*""","""Oudewater""",10138,91,83,342,"0,22"
"""2019""","""Overbetuwe""",47543,470,364,2093,"0,76"
"""2020""","""Overbetuwe""",47906,468,404,2153,"0,64"
"""2021*""","""Overbetuwe""",48214,458,386,2084,"0,11"
"""2019""","""Papendrecht""",32290,300,265,1369,"-0,48"
"""2020""","""Papendrecht""",32136,272,321,1377,"0,11"
"""2021*""","""Papendrecht""",32171,330,289,1423,"0,1"
"""2019""","""Peel en Maas""",43311,347,402,1170,"0,26"
"""2020""","""Peel en Maas""",43425,362,505,1114,"0,54"
"""2021*""","""Peel en Maas""",43660,419,406,1105,"1,42"
"""2019""","""Pekela""",12214,105,117,654,"-0,15"
"""2020""","""Pekela""",12196,106,111,644,"-0,16"
"""2021*""","""Pekela""",12176,109,170,648,"0,21"
"""2019""","""Pijnacker-Nootdorp""",54331,543,316,2257,"1,8"
"""2020""","""Pijnacker-Nootdorp""",55308,541,323,2537,"0,66"
"""2021*""","""Pijnacker-Nootdorp""",55674,594,371,2512,"1,58"
"""2019""","""Purmerend""",80117,722,773,2759,"1,41"
"""2020""","""Purmerend""",81249,761,803,2992,"0,53"
"""2021*""","""Purmerend""",81683,766,937,3367,"-0,17"
"""2019""","""Putten""",24198,231,204,892,"-0,36"
"""2020""","""Putten""",24112,254,225,808,"1,05"
"""2021*""","""Putten""",24365,239,246,735,"0,96"
"""2019""","""Raalte""",37511,345,362,1040,"0,54"
"""2020""","""Raalte""",37712,352,395,1120,"0,53"
"""2021*""","""Raalte""",37911,363,418,1015,"0,61"
"""2019""","""Ravenstein""",,,,,
"""2020""","""Ravenstein""",,,,,
"""2021*""","""Ravenstein""",,,,,
"""2019""","""Reeuwijk""",,,,,
"""2020""","""Reeuwijk""",,,,,
"""2021*""","""Reeuwijk""",,,,,
"""2019""","""Reiderland""",,,,,
"""2020""","""Reiderland""",,,,,
"""2021*""","""Reiderland""",,,,,
"""2019""","""Reimerswaal""",22678,291,157,828,"0,23"
"""2020""","""Reimerswaal""",22730,311,177,838,"0,73"
"""2021*""","""Reimerswaal""",22896,276,191,818,"0,12"
"""2019""","""Renkum""",31302,196,375,1729,"0,37"
"""2020""","""Renkum""",31419,211,461,1731,"-0,01"
"""2021*""","""Renkum""",31417,169,405,1735,"-0,18"
"""2019""","""Renswoude""",5259,81,30,291,"3,52"
"""2020""","""Renswoude""",5444,85,34,294,"2,06"
"""2021*""","""Renswoude""",5556,92,21,335,"1,75"
"""2019""","""Reusel-De Mierden""",13060,141,77,445,"0,4"
"""2020""","""Reusel-De Mierden""",13112,129,109,454,"0,11"
"""2021*""","""Reusel-De Mierden""",13127,143,107,424,"1,11"
"""2019""","""Rheden""",43640,312,609,2301,"0,28"
"""2020""","""Rheden""",43761,362,639,2401,"-0,54"
"""2021*""","""Rheden""",43525,327,627,2263,"-0,22"
"""2019""","""Rhenen""",20004,216,161,1065,"0,57"
"""2020""","""Rhenen""",20119,220,195,1046,"0,42"
"""2021*""","""Rhenen""",20203,235,226,915,"0,29"
"""2019""","""Ridderkerk""",46241,451,488,1774,"-0,11"
"""2020""","""Ridderkerk""",46189,450,632,1796,"1,04"
"""2021*""","""Ridderkerk""",46671,475,571,1855,"0,93"
"""2019""","""Rijnsburg""",,,,,
"""2020""","""Rijnsburg""",,,,,
"""2021*""","""Rijnsburg""",,,,,
"""2019""","""Rijnwaarden""",,,,,
"""2020""","""Rijnwaarden""",,,,,
"""2021*""","""Rijnwaarden""",,,,,
"""2019""","""Rijnwoude""",,,,,
"""2020""","""Rijnwoude""",,,,,
"""2021*""","""Rijnwoude""",,,,,
"""2019""","""Rijssen""",,,,,
"""2020""","""Rijssen""",,,,,
"""2021*""","""Rijssen""",,,,,
"""2019""","""Rijssen-Holten""",38300,412,307,1044,"-0,32"
"""2020""","""Rijssen-Holten""",38177,438,375,944,"0,07"
"""2021*""","""Rijssen-Holten""",38204,435,352,905,"0,08"
"""2019""","""Rijswijk (ZH.)""",53467,683,587,4005,"1,84"
"""2020""","""Rijswijk (ZH.)""",54450,647,677,4019,"1,41"
"""2021*""","""Rijswijk (ZH.)""",55220,708,650,4172,"3,14"
"""2019""","""Roerdalen""",20615,138,201,912,"-0,2"
"""2020""","""Roerdalen""",20574,133,226,903,"0,03"
"""2021*""","""Roerdalen""",20580,173,265,755,"-0,09"
"""2019""","""Roermond""",58209,498,603,2352,"0,09"
"""2020""","""Roermond""",58260,568,634,2346,"0,86"
"""2021*""","""Roermond""",58763,572,700,2278,"0,64"
"""2019""","""Roggel en Neer""",,,,,
"""2020""","""Roggel en Neer""",,,,,
"""2021*""","""Roggel en Neer""",,,,,
"""2019""","""De Ronde Venen""",44059,387,374,1557,"0,9"
"""2020""","""De Ronde Venen""",44456,390,355,1674,"0,59"
"""2021*""","""De Ronde Venen""",44720,424,428,1781,"0,51"
"""2019""","""Roosendaal""",77032,716,788,2631,"0,28"
"""2020""","""Roosendaal""",77251,681,798,2668,"-0,07"
"""2021*""","""Roosendaal""",77200,717,870,2473,"0,06"
"""2019""","""Rotterdam""",644618,7720,5464,29146,"1,02"
"""2020""","""Rotterdam""",651157,7613,6537,32513,"0,07"
"""2021*""","""Rotterdam""",651631,7617,6003,34069,"0,59"
"""2019""","""Rozenburg""",,,,,
"""2020""","""Rozenburg""",,,,,
"""2021*""","""Rozenburg""",,,,,
"""2019""","""Rozendaal""",1654,15,11,103,"3,02"
"""2020""","""Rozendaal""",1704,9,14,86,"1,29"
"""2021*""","""Rozendaal""",1726,12,5,102,"1,74"
"""2019""","""Rucphen""",22572,169,250,744,"1,36"
"""2020""","""Rucphen""",22878,206,276,854,"0,88"
"""2021*""","""Rucphen""",23080,229,290,737,"1,17"
"""2019""","""Ruurlo""",,,,,
"""2020""","""Ruurlo""",,,,,
"""2021*""","""Ruurlo""",,,,,
"""2019""","""Sas van Gent""",,,,,
"""2020""","""Sas van Gent""",,,,,
"""2021*""","""Sas van Gent""",,,,,
"""2019""","""Sassenheim""",,,,,
"""2020""","""Sassenheim""",,,,,
"""2021*""","""Sassenheim""",,,,,
"""2019""","""Schagen""",46553,371,465,1692,"-0,15"
"""2020""","""Schagen""",46483,338,469,1528,"0,11"
"""2021*""","""Schagen""",46532,387,522,1543,"0,64"
"""2019""","""Scheemda""",,,,,
"""2020""","""Scheemda""",,,,,
"""2021*""","""Scheemda""",,,,,
"""2019""","""Schermer""",,,,,
"""2020""","""Schermer""",,,,,
"""2021*""","""Schermer""",,,,,
"""2019""","""Scherpenzeel""",9873,100,81,419,"0,07"
"""2020""","""Scherpenzeel""",9880,137,92,386,"2,51"
"""2021*""","""Scherpenzeel""",10128,141,94,393,"1,92"
"""2019""","""Schiedam""",77999,850,789,4571,"0,94"
"""2020""","""Schiedam""",78730,848,793,4665,"0,7"
"""2021*""","""Schiedam""",79279,955,820,4856,"0,63"
"""2019""","""Schiermonnikoog""",936,7,8,68,"1,18"
"""2020""","""Schiermonnikoog""",947,3,14,60,"-1,69"
"""2021*""","""Schiermonnikoog""",931,3,14,65,"1,4"
"""2019""","""Schijndel""",,,,,
"""2020""","""Schijndel""",,,,,
"""2021*""","""Schijndel""",,,,,
"""2019""","""Schinnen""",,,,,
"""2020""","""Schinnen""",,,,,
"""2021*""","""Schinnen""",,,,,
"""2019""","""Schipluiden""",,,,,
"""2020""","""Schipluiden""",,,,,
"""2021*""","""Schipluiden""",,,,,
"""2019""","""Schoonhoven""",,,,,
"""2020""","""Schoonhoven""",,,,,
"""2021*""","""Schoonhoven""",,,,,
"""2019""","""Schouwen-Duiveland""",33779,308,391,932,"0,18"
"""2020""","""Schouwen-Duiveland""",33839,264,392,937,"0,67"
"""2021*""","""Schouwen-Duiveland""",34065,308,495,827,"0,27"
"""2019""","""Sevenum""",,,,,
"""2020""","""Sevenum""",,,,,
"""2021*""","""Sevenum""",,,,,
"""2019""","""Simpelveld""",10516,81,79,492,"0,37"
"""2020""","""Simpelveld""",10555,76,92,562,"-0,74"
"""2021*""","""Simpelveld""",10477,69,123,521,"-0,5"
"""2019""","""Sint Anthonis""",11606,124,105,480,"0,5"
"""2020""","""Sint Anthonis""",11664,90,115,466,"0,23"
"""2021*""","""Sint Anthonis""",11691,93,118,471,"0,92"
"""2019""","""Sint-Michielsgestel""",28991,273,279,1103,"0,75"
"""2020""","""Sint-Michielsgestel""",29208,263,288,1199,"0,99"
"""2021*""","""Sint-Michielsgestel""",29498,259,298,1160,"0,76"
"""2019""","""Sint-Oedenrode""",,,,,
"""2020""","""Sint-Oedenrode""",,,,,
"""2021*""","""Sint-Oedenrode""",,,,,
"""2019""","""Sittard-Geleen""",92661,733,1175,3270,"-0,25"
"""2020""","""Sittard-Geleen""",92429,668,1297,3569,"-0,74"
"""2021*""","""Sittard-Geleen""",91743,773,1272,3201,"-0,02"
"""2019""","""Skarsterlân""",,,,,
"""2020""","""Skarsterlân""",,,,,
"""2021*""","""Skarsterlân""",,,,,
"""2019""","""Sliedrecht""",25026,295,252,898,"0,78"
"""2020""","""Sliedrecht""",25220,280,337,970,"1,49"
"""2021*""","""Sliedrecht""",25597,322,326,980,"1,14"
"""2019""","""Slochteren""",,,,,
"""2020""","""Slochteren""",,,,,
"""2021*""","""Slochteren""",,,,,
"""2019""","""Sluis""",23386,162,299,566,"-0,75"
"""2020""","""Sluis""",23210,165,317,571,"-0,19"
"""2021*""","""Sluis""",23166,153,315,538,"-0,13"
"""2019""","""Sluis-Aardenburg""",,,,,
"""2020""","""Sluis-Aardenburg""",,,,,
"""2021*""","""Sluis-Aardenburg""",,,,,
"""2019""","""Smallingerland""",55938,509,525,2232,"0,38"
"""2020""","""Smallingerland""",56150,525,518,2358,"-0,2"
"""2021*""","""Smallingerland""",56040,565,554,2333,"-0,25"
"""2019""","""Sneek""",,,,,
"""2020""","""Sneek""",,,,,
"""2021*""","""Sneek""",,,,,
"""2019""","""Soest""",46194,406,424,2256,"0,89"
"""2020""","""Soest""",46606,416,490,2351,"0,64"
"""2021*""","""Soest""",46906,434,480,2409,"0,44"
"""2019""","""Someren""",19322,184,157,607,"0,24"
"""2020""","""Someren""",19368,207,226,669,"0,31"
"""2021*""","""Someren""",19428,214,181,644,"1,41"
"""2019""","""Son en Breugel""",16904,160,170,608,"2,47"
"""2020""","""Son en Breugel""",17322,188,201,729,"1,33"
"""2021*""","""Son en Breugel""",17552,176,173,744,"1,27"
"""2019""","""Spijkenisse""",,,,,
"""2020""","""Spijkenisse""",,,,,
"""2021*""","""Spijkenisse""",,,,,
"""2019""","""Stadskanaal""",31789,255,427,1302,"-0,32"
"""2020""","""Stadskanaal""",31686,246,440,1342,"0,21"
"""2021*""","""Stadskanaal""",31754,238,436,1621,"0,28"
"""2019""","""Staphorst""",17003,262,113,589,"0,84"
"""2020""","""Staphorst""",17145,260,125,588,"0,68"
"""2021*""","""Staphorst""",17261,231,119,612,"0,12"
"""2019""","""Stede Broec""",21706,217,200,949,"0,09"
"""2020""","""Stede Broec""",21726,202,188,973,"0,08"
"""2021*""","""Stede Broec""",21743,221,195,812,"0,96"
"""2019""","""Steenbergen""",25054,219,256,996,"-2,55"
"""2020""","""Steenbergen""",24416,195,250,1025,"-0,43"
"""2021*""","""Steenbergen""",24310,240,278,1011,"0,14"
"""2019""","""Steenderen""",,,,,
"""2020""","""Steenderen""",,,,,
"""2021*""","""Steenderen""",,,,,
"""2019""","""Steenwijk""",,,,,
"""2020""","""Steenwijk""",,,,,
"""2021*""","""Steenwijk""",,,,,
"""2019""","""Steenwijkerland""",43940,412,469,1614,"0,42"
"""2020""","""Steenwijkerland""",44126,382,444,1727,"0,49"
"""2021*""","""Steenwijkerland""",44341,414,476,1609,"0,9"
"""2019""","""Stein (L.)""",24961,183,243,869,"0,18"
"""2020""","""Stein (L.)""",25007,189,307,882,"-0,53"
"""2021*""","""Stein (L.)""",24875,213,343,859,"-0,27"
"""2019""","""Stichtse Vecht""",64336,639,514,2995,"0,92"
"""2020""","""Stichtse Vecht""",64931,603,608,3115,"0,27"
"""2021*""","""Stichtse Vecht""",65108,671,589,3378,"0,2"
"""2019""","""Strijen""",,,,,
"""2020""","""Strijen""",,,,,
"""2021*""","""Strijen""",,,,,
"""2019""","""Súdwest-Fryslân""",89710,837,884,2651,"0,31"
"""2020""","""Súdwest-Fryslân""",89987,809,914,2949,"0,01"
"""2021*""","""Súdwest-Fryslân""",89999,831,946,3068,"0,34"
"""2019""","""Susteren""",,,,,
"""2020""","""Susteren""",,,,,
"""2021*""","""Susteren""",,,,,
"""2019""","""Swalmen""",,,,,
"""2020""","""Swalmen""",,,,,
"""2021*""","""Swalmen""",,,,,
"""2019""","""Terneuzen""",54589,401,645,1465,"-0,3"
"""2020""","""Terneuzen""",54426,430,667,1341,"0,07"
"""2021*""","""Terneuzen""",54463,449,732,1343,"0,06"
"""2019""","""Terschelling""",4890,34,38,327,"-0,04"
"""2020""","""Terschelling""",4888,27,40,332,"-0,37"
"""2021*""","""Terschelling""",4870,43,55,297,"1,93"
"""2019""","""Texel""",13547,96,139,483,"0,21"
"""2020""","""Texel""",13575,109,137,433,"0,6"
"""2021*""","""Texel""",13656,111,131,478,"0,25"
"""2019""","""Teylingen""",37061,358,308,1459,"1,02"
"""2020""","""Teylingen""",37440,351,320,1617,"0,94"
"""2021*""","""Teylingen""",37791,403,352,1620,"0,39"
"""2019""","""Tholen""",25780,304,208,941,"-0,09"
"""2020""","""Tholen""",25757,286,265,783,"1,27"
"""2021*""","""Tholen""",26085,329,245,872,"1,17"
"""2019""","""Thorn""",,,,,
"""2020""","""Thorn""",,,,,
"""2021*""","""Thorn""",,,,,
"""2019""","""Tiel""",41978,356,358,1656,"0,43"
"""2020""","""Tiel""",42159,390,429,1864,"-0,57"
"""2021*""","""Tiel""",41920,396,455,1665,"0,84"
"""2019""","""Tilburg""",217259,2008,1814,8847,"1,16"
"""2020""","""Tilburg""",219789,2037,2219,9354,"0,33"
"""2021*""","""Tilburg""",221947,2266,2023,8859,"1,13"
"""2019""","""Tubbergen""",21276,210,192,590,0
"""2020""","""Tubbergen""",21275,188,213,585,"0,19"
"""2021*""","""Tubbergen""",21315,213,216,567,"0,23"
"""2019""","""Twenterand""",33792,310,323,893,"-0,15"
"""2020""","""Twenterand""",33743,298,325,913,"-0,13"
"""2021*""","""Twenterand""",33699,322,350,821,"0,05"
"""2019""","""Tynaarlo""",33698,314,365,1897,"0,56"
"""2020""","""Tynaarlo""",33887,281,455,1863,"0,27"
"""2021*""","""Tynaarlo""",33978,293,443,1766,"0,64"
"""2019""","""Tytsjerksteradiel""",31780,305,322,1258,"0,86"
"""2020""","""Tytsjerksteradiel""",32052,306,337,1339,"0,02"
"""2021*""","""Tytsjerksteradiel""",32060,341,376,1312,"0,71"
"""2019""","""Ubbergen""",,,,,
"""2020""","""Ubbergen""",,,,,
"""2021*""","""Ubbergen""",,,,,
"""2019""","""Uden""",41782,426,370,1423,"0,81"
"""2020""","""Uden""",42119,415,472,1524,"0,41"
"""2021*""","""Uden""",42291,425,429,1315,"0,42"
"""2019""","""Uitgeest""",13528,135,79,540,"1,02"
"""2020""","""Uitgeest""",13666,122,102,659,"-0,25"
"""2021*""","""Uitgeest""",13632,146,112,613,"-0,51"
"""2019""","""Uithoorn""",29424,259,211,1509,"0,18"
"""2020""","""Uithoorn""",29478,298,237,1512,"2,47"
"""2021*""","""Uithoorn""",30206,367,255,1424,"2,69"
"""2019""","""Urk""",20776,389,88,333,"1,23"
"""2020""","""Urk""",21031,388,132,391,"0,93"
"""2021*""","""Urk""",21227,424,120,361,"1,11"
"""2019""","""Utrecht (gemeente)""",352866,4740,1923,22138,"1,34"
"""2020""","""Utrecht (gemeente)""",357597,4805,2068,23898,"0,5"
"""2021*""","""Utrecht (gemeente)""",359370,4959,2073,25578,"0,64"
"""2019""","""Utrechtse Heuvelrug""",49515,363,600,3021,"0,13"
"""2020""","""Utrechtse Heuvelrug""",49580,406,632,2889,"0,74"
"""2021*""","""Utrechtse Heuvelrug""",49946,440,620,3053,"0,08"
"""2019""","""Vaals""",10092,56,109,287,"0,13"
"""2020""","""Vaals""",10105,57,133,308,"-0,21"
"""2021*""","""Vaals""",10084,46,150,294,"0,4"
"""2019""","""Valkenburg (ZH.)""",,,,,
"""2020""","""Valkenburg (ZH.)""",,,,,
"""2021*""","""Valkenburg (ZH.)""",,,,,
"""2019""","""Valkenburg aan de Geul""",16470,100,229,877,"-0,63"
"""2020""","""Valkenburg aan de Geul""",16367,123,244,921,"-0,01"
"""2021*""","""Valkenburg aan de Geul""",16365,102,267,922,"-1,18"
"""2019""","""Valkenswaard""",30910,252,357,909,"0,92"
"""2020""","""Valkenswaard""",31193,259,390,1060,"0,09"
"""2021*""","""Valkenswaard""",31221,272,393,1105,"0,03"
"""2019""","""Veendam""",27491,213,318,1363,"-0,39"
"""2020""","""Veendam""",27384,211,310,1206,"0,12"
"""2021*""","""Veendam""",27417,214,330,1169,"0,2"
"""2019""","""Veenendaal""",65589,850,497,2173,"1,38"
"""2020""","""Veenendaal""",66493,800,607,2293,"0,63"
"""2021*""","""Veenendaal""",66912,815,594,2203,"1,13"
"""2019""","""Veere""",21835,196,223,806,"0,21"
"""2020""","""Veere""",21880,207,213,907,"0,33"
"""2021*""","""Veere""",21953,203,255,835,"-0,47"
"""2019""","""Veghel""",,,,,
"""2020""","""Veghel""",,,,,
"""2021*""","""Veghel""",,,,,
"""2019""","""Veldhoven""",45337,401,384,2092,"0,28"
"""2020""","""Veldhoven""",45466,402,405,2121,"0,07"
"""2021*""","""Veldhoven""",45500,396,436,2094,"0,69"
"""2019""","""Velsen""",68348,588,702,2620,"0,44"
"""2020""","""Velsen""",68648,615,762,2736,"-0,05"
"""2021*""","""Velsen""",68617,628,761,2751,"-0,21"
"""2019""","""Venhuizen""",,,,,
"""2020""","""Venhuizen""",,,,,
"""2021*""","""Venhuizen""",,,,,
"""2019""","""Venlo""",101603,890,971,2599,"0,2"
"""2020""","""Venlo""",101802,903,1039,2656,"0,18"
"""2021*""","""Venlo""",101988,948,1065,2692,"0,14"
"""2019""","""Venray""",43326,401,359,1397,"0,66"
"""2020""","""Venray""",43614,382,416,1447,"0,23"
"""2021*""","""Venray""",43713,417,438,1440,"0,59"
"""2019""","""Vianen""",,,,,
"""2020""","""Vianen""",,,,,
"""2021*""","""Vianen""",,,,,
"""2019""","""Vijfheerenlanden""",55712,640,531,1849,"1,97"
"""2020""","""Vijfheerenlanden""",56811,658,613,1934,"1,79"
"""2021*""","""Vijfheerenlanden""",57829,816,600,2129,"1,66"
"""2019""","""Vlaardingen""",72404,800,809,2795,"1,37"
"""2020""","""Vlaardingen""",73397,841,830,3081,"0,72"
"""2021*""","""Vlaardingen""",73924,774,858,3339,"0,32"
"""2019""","""Vlagtwedde""",,,,,
"""2020""","""Vlagtwedde""",,,,,
"""2021*""","""Vlagtwedde""",,,,,
"""2019""","""Vlieland""",1138,7,11,139,"1,49"
"""2020""","""Vlieland""",1155,10,11,123,"3,38"
"""2021*""","""Vlieland""",1194,6,8,133,"0,17"
"""2019""","""Vlissingen""",44371,376,458,1993,"-0,02"
"""2020""","""Vlissingen""",44360,351,536,2070,0
"""2021*""","""Vlissingen""",44358,372,638,1802,"0,47"
"""2019""","""Vlist""",,,,,
"""2020""","""Vlist""",,,,,
"""2021*""","""Vlist""",,,,,
"""2019""","""Voerendaal""",12452,111,121,585,"0,18"
"""2020""","""Voerendaal""",12475,83,147,560,"-0,07"
"""2021*""","""Voerendaal""",12466,124,124,573,"-0,33"
"""2019""","""Voorhout""",,,,,
"""2020""","""Voorhout""",,,,,
"""2021*""","""Voorhout""",,,,,
"""2019""","""Voorschoten""",25479,234,235,1155,"0,46"
"""2020""","""Voorschoten""",25596,207,283,1121,"0,21"
"""2021*""","""Voorschoten""",25650,229,253,1238,"-0,09"
"""2019""","""Voorst""",24417,199,251,947,"0,55"
"""2020""","""Voorst""",24552,234,243,1018,"0,97"
"""2021*""","""Voorst""",24790,206,251,919,"0,83"
"""2019""","""Vorden""",,,,,
"""2020""","""Vorden""",,,,,
"""2021*""","""Vorden""",,,,,
"""2019""","""Vriezenveen""",,,,,
"""2020""","""Vriezenveen""",,,,,
"""2021*""","""Vriezenveen""",,,,,
"""2019""","""Vught""",26396,255,295,1601,"0,61"
"""2020""","""Vught""",26558,232,370,1672,"0,78"
"""2021*""","""Vught""",31669,310,368,1812,"0,31"
"""2019""","""Waadhoeke""",46039,410,439,2048,"0,11"
"""2020""","""Waadhoeke""",46090,391,450,1919,"0,13"
"""2021*""","""Waadhoeke""",46149,434,519,2015,"0,37"
"""2019""","""Waalre""",17247,164,172,839,"1,21"
"""2020""","""Waalre""",17456,161,179,872,"0,5"
"""2021*""","""Waalre""",17544,153,166,874,"0,5"
"""2019""","""Waalwijk""",48240,480,438,2013,"0,82"
"""2020""","""Waalwijk""",48637,454,550,2124,"0,37"
"""2021*""","""Waalwijk""",48815,474,488,2043,"1,1"
"""2019""","""Waddinxveen""",28316,365,194,1147,"3,44"
"""2020""","""Waddinxveen""",29291,415,194,1196,"4,06"
"""2021*""","""Waddinxveen""",30479,472,215,1198,"2,82"
"""2019""","""Wageningen""",38774,306,395,3312,"2,3"
"""2020""","""Wageningen""",39664,303,437,3329,"-0,07"
"""2021*""","""Wageningen""",39635,256,429,3268,"0,73"
"""2019""","""Warmond""",,,,,
"""2020""","""Warmond""",,,,,
"""2021*""","""Warmond""",,,,,
"""2019""","""Warnsveld""",,,,,
"""2020""","""Warnsveld""",,,,,
"""2021*""","""Warnsveld""",,,,,
"""2019""","""Wassenaar""",26211,159,345,1099,"0,36"
"""2020""","""Wassenaar""",26305,164,362,1455,"2,45"
"""2021*""","""Wassenaar""",26949,162,379,1934,"0,58"
"""2019""","""Wateringen""",,,,,
"""2020""","""Wateringen""",,,,,
"""2021*""","""Wateringen""",,,,,
"""2019""","""Waterland""",17315,133,156,569,"0,63"
"""2020""","""Waterland""",17424,128,182,668,"-0,64"
"""2021*""","""Waterland""",17312,147,176,666,"0,14"
"""2019""","""Weert""",49842,434,504,1743,"0,53"
"""2020""","""Weert""",50105,372,579,1935,"-0,19"
"""2021*""","""Weert""",50011,452,607,1459,"0,67"
