"Perioden";"Regio's";"Totaal alle onderliggende doodsoorzaken (aantal)";"Nieuwvormingen (aantal)";"Ziekten van hart en vaatstelsel (aantal)";"Ziekten van ademhalingsstelsel (aantal)"
"2019";"Roerdalen";201;70;52;10
"2020";"Roerdalen";226;61;54;12
"2018";"Roermond";543;158;133;67
"2019";"Roermond";603;168;167;50
"2020";"Roermond";634;177;141;53
"2018";"Roggel en Neer";;;;
"2019";"Roggel en Neer";;;;
"2020";"Roggel en Neer";;;;
"2018";"Rolde";;;;
"2019";"Rolde";;;;
"2020";"Rolde";;;;
"2018";"De Ronde Venen";393;123;109;38
"2019";"De Ronde Venen";374;124;90;24
"2020";"De Ronde Venen";355;105;90;16
"2018";"Roosendaal";789;226;163;91
"2019";"Roosendaal";788;243;174;74
"2020";"Roosendaal";798;208;177;48
"2018";"Roosendaal en Nispen";;;;
"2019";"Roosendaal en Nispen";;;;
"2020";"Roosendaal en Nispen";;;;
"2018";"Rossum";;;;
"2019";"Rossum";;;;
"2020";"Rossum";;;;
"2018";"Rotterdam";5604;1603;1359;515
"2019";"Rotterdam";5464;1518;1280;489
"2020";"Rotterdam";6537;1585;1237;420
"2018";"Rozenburg";;;;
"2019";"Rozenburg";;;;
"2020";"Rozenburg";;;;
"2018";"Rozendaal";18;3;4;3
"2019";"Rozendaal";11;4;2;1
"2020";"Rozendaal";14;3;7;0
"2018";"Rucphen";261;90;67;29
"2019";"Rucphen";250;87;56;24
"2020";"Rucphen";276;82;64;26
"2018";"Ruinen";;;;
"2019";"Ruinen";;;;
"2020";"Ruinen";;;;
"2018";"Ruinerwold";;;;
"2019";"Ruinerwold";;;;
"2020";"Ruinerwold";;;;
"2018";"Ruurlo";;;;
"2019";"Ruurlo";;;;
"2020";"Ruurlo";;;;
"2018";"Sas van Gent";;;;
"2019";"Sas van Gent";;;;
"2020";"Sas van Gent";;;;
"2018";"Sassenheim";;;;
"2019";"Sassenheim";;;;
"2020";"Sassenheim";;;;
"2018";"Schagen";455;139;91;38
"2019";"Schagen";465;143;103;37
"2020";"Schagen";469;151;93;27
"2018";"Scheemda";;;;
"2019";"Scheemda";;;;
"2020";"Scheemda";;;;
"2018";"Schermer";;;;
"2019";"Schermer";;;;
"2020";"Schermer";;;;
"2018";"Scherpenzeel";73;22;20;12
"2019";"Scherpenzeel";81;27;15;7
"2020";"Scherpenzeel";92;22;25;9
"2018";"Schiedam";789;226;168;86
"2019";"Schiedam";789;258;175;62
"2020";"Schiedam";793;214;160;63
"2018";"Schiermonnikoog";15;8;3;0
"2019";"Schiermonnikoog";8;2;3;2
"2020";"Schiermonnikoog";14;6;4;0
"2018";"Schijndel";;;;
"2019";"Schijndel";;;;
"2020";"Schijndel";;;;
"2018";"Schinnen";170;39;47;19
"2019";"Schinnen";;;;
"2020";"Schinnen";;;;
"2018";"Schipluiden";;;;
"2019";"Schipluiden";;;;
"2020";"Schipluiden";;;;
"2018";"Schoonebeek";;;;
"2019";"Schoonebeek";;;;
"2020";"Schoonebeek";;;;
"2018";"Schoonhoven";;;;
"2019";"Schoonhoven";;;;
"2020";"Schoonhoven";;;;
"2018";"Schoorl";;;;
"2019";"Schoorl";;;;
"2020";"Schoorl";;;;
"2018";"Schouwen-Duiveland";372;108;104;30
"2019";"Schouwen-Duiveland";391;131;106;28
"2020";"Schouwen-Duiveland";392;126;93;22
"2018";"Sevenum";;;;
"2019";"Sevenum";;;;
"2020";"Sevenum";;;;
"2018";"Simpelveld";101;29;26;7
"2019";"Simpelveld";79;36;11;10
"2020";"Simpelveld";92;34;25;6
"2018";"Sint Anthonis";100;35;32;3
"2019";"Sint Anthonis";105;31;36;10
"2020";"Sint Anthonis";115;22;27;8
"2018";"Sint-Michielsgestel";280;96;76;24
"2019";"Sint-Michielsgestel";279;78;77;30
"2020";"Sint-Michielsgestel";288;84;56;21
"2018";"Sint-Oedenrode";;;;
"2019";"Sint-Oedenrode";;;;
"2020";"Sint-Oedenrode";;;;
"2018";"Sittard";;;;
"2019";"Sittard";;;;
"2020";"Sittard";;;;
"2018";"Sittard-Geleen";1050;303;256;112
"2019";"Sittard-Geleen";1175;327;321;112
"2020";"Sittard-Geleen";1297;306;302;114
"2018";"Skarsterlân";;;;
"2019";"Skarsterlân";;;;
"2020";"Skarsterlân";;;;
"2018";"Sleen";;;;
"2019";"Sleen";;;;
"2020";"Sleen";;;;
"2018";"Sliedrecht";296;92;69;24
"2019";"Sliedrecht";252;67;62;22
"2020";"Sliedrecht";337;82;75;27
"2018";"Slochteren";;;;
"2019";"Slochteren";;;;
"2020";"Slochteren";;;;
"2018";"Sluis";279;69;76;23
"2019";"Sluis";299;91;66;24
"2020";"Sluis";317;73;68;18
"2018";"Sluis-Aardenburg";;;;
"2019";"Sluis-Aardenburg";;;;
"2020";"Sluis-Aardenburg";;;;
"2018";"Smallingerland";483;156;132;50
"2019";"Smallingerland";525;160;158;33
"2020";"Smallingerland";518;172;115;35
"2018";"Smilde";;;;
"2019";"Smilde";;;;
"2020";"Smilde";;;;
"2018";"Sneek";;;;
"2019";"Sneek";;;;
"2020";"Sneek";;;;
"2018";"Soest";455;148;118;35
"2019";"Soest";424;141;96;30
"2020";"Soest";490;137;110;37
"2018";"Someren";161;47;42;21
"2019";"Someren";157;50;48;12
"2020";"Someren";226;49;45;15
"2018";"Son en Breugel";160;54;30;13
"2019";"Son en Breugel";170;51;46;12
"2020";"Son en Breugel";201;66;42;10
"2018";"Spijkenisse";;;;
"2019";"Spijkenisse";;;;
"2020";"Spijkenisse";;;;
"2018";"Sprang-Capelle";;;;
"2019";"Sprang-Capelle";;;;
"2020";"Sprang-Capelle";;;;
"2018";"Stad Delden";;;;
"2019";"Stad Delden";;;;
"2020";"Stad Delden";;;;
"2018";"Stadskanaal";429;118;137;41
"2019";"Stadskanaal";427;145;127;42
"2020";"Stadskanaal";440;112;115;32
"2018";"Standdaarbuiten";;;;
"2019";"Standdaarbuiten";;;;
"2020";"Standdaarbuiten";;;;
"2018";"Staphorst";128;33;37;13
"2019";"Staphorst";113;39;32;9
"2020";"Staphorst";125;35;32;2
"2018";"Stede Broec";185;57;42;21
"2019";"Stede Broec";200;60;56;13
"2020";"Stede Broec";188;63;37;7
"2018";"Steenbergen";238;74;58;23
"2019";"Steenbergen";256;83;58;19
"2020";"Steenbergen";250;60;38;18
"2018";"Steenderen";;;;
"2019";"Steenderen";;;;
"2020";"Steenderen";;;;
"2018";"Steenwijk";;;;
"2019";"Steenwijk";;;;
"2020";"Steenwijk";;;;
"2018";"Steenwijkerland";428;143;92;54
"2019";"Steenwijkerland";469;145;128;36
"2020";"Steenwijkerland";444;136;123;26
"2018";"Stein (L.)";275;94;71;27
"2019";"Stein (L.)";243;83;53;23
"2020";"Stein (L.)";307;85;83;14
"2018";"Stichtse Vecht";547;180;146;35
"2019";"Stichtse Vecht";514;182;113;45
"2020";"Stichtse Vecht";608;180;124;38
"2018";"Stramproy";;;;
"2019";"Stramproy";;;;
"2020";"Stramproy";;;;
"2018";"Strijen";86;41;17;5
"2019";"Strijen";;;;
"2020";"Strijen";;;;
"2018";"Súdwest-Fryslân";900;280;242;70
"2019";"Súdwest-Fryslân";884;289;237;71
"2020";"Súdwest-Fryslân";914;293;216;47
"2018";"Susteren";;;;
"2019";"Susteren";;;;
"2020";"Susteren";;;;
"2018";"Swalmen";;;;
"2019";"Swalmen";;;;
"2020";"Swalmen";;;;
"2018";"Tegelen";;;;
"2019";"Tegelen";;;;
"2020";"Tegelen";;;;
"2018";"Terheijden";;;;
"2019";"Terheijden";;;;
"2020";"Terheijden";;;;
"2018";"Terneuzen";642;155;208;43
"2019";"Terneuzen";645;198;172;48
"2020";"Terneuzen";667;179;181;39
"2018";"Terschelling";42;12;20;3
"2019";"Terschelling";38;16;12;3
"2020";"Terschelling";40;8;14;6
"2018";"Teteringen";;;;
"2019";"Teteringen";;;;
"2020";"Teteringen";;;;
"2018";"Texel";148;46;39;13
"2019";"Texel";139;52;41;5
"2020";"Texel";137;56;38;8
"2018";"Teylingen";280;87;76;29
"2019";"Teylingen";308;99;85;18
"2020";"Teylingen";320;92;61;27
"2018";"Tholen";230;67;54;14
"2019";"Tholen";208;61;47;14
"2020";"Tholen";265;73;46;13
"2018";"Thorn";;;;
"2019";"Thorn";;;;
"2020";"Thorn";;;;
"2018";"Tiel";350;101;79;36
"2019";"Tiel";358;105;73;29
"2020";"Tiel";429;122;82;33
"2018";"Tilburg";1886;572;463;190
"2019";"Tilburg";1814;557;466;163
"2020";"Tilburg";2219;571;426;155
"2018";"Tubbergen";197;62;49;20
"2019";"Tubbergen";192;54;48;16
"2020";"Tubbergen";213;60;56;2
"2018";"Twenterand";314;80;79;32
"2019";"Twenterand";323;88;87;32
"2020";"Twenterand";325;97;81;20
"2018";"Tynaarlo";417;120;92;40
"2019";"Tynaarlo";365;111;94;28
"2020";"Tynaarlo";455;125;110;22
"2018";"Tytsjerksteradiel";361;109;108;26
"2019";"Tytsjerksteradiel";322;95;77;27
"2020";"Tytsjerksteradiel";337;104;94;19
"2018";"Ubbergen";;;;
"2019";"Ubbergen";;;;
"2020";"Ubbergen";;;;
"2018";"Uden";386;124;99;36
"2019";"Uden";370;117;96;25
"2020";"Uden";472;119;94;26
"2018";"Udenhout";;;;
"2019";"Udenhout";;;;
"2020";"Udenhout";;;;
"2018";"Uitgeest";95;30;24;10
"2019";"Uitgeest";79;31;17;8
"2020";"Uitgeest";102;35;29;6
"2018";"Uithoorn";222;73;56;12
"2019";"Uithoorn";211;82;43;13
"2020";"Uithoorn";237;85;52;10
"2018";"Urk";108;34;28;8
"2019";"Urk";88;27;24;5
"2020";"Urk";132;27;30;2
"2018";"Utrecht (gemeente)";1838;567;407;169
"2019";"Utrecht (gemeente)";1923;575;429;161
"2020";"Utrecht (gemeente)";2068;575;367;138
"2018";"Utrechtse Heuvelrug";517;131;153;53
"2019";"Utrechtse Heuvelrug";600;163;173;38
"2020";"Utrechtse Heuvelrug";632;159;152;45
"2018";"Vaals";123;38;28;12
"2019";"Vaals";109;19;31;16
"2020";"Vaals";133;32;24;10
"2018";"Valburg";;;;
"2019";"Valburg";;;;
"2020";"Valburg";;;;
"2018";"Valkenburg (ZH.)";;;;
"2019";"Valkenburg (ZH.)";;;;
"2020";"Valkenburg (ZH.)";;;;
"2018";"Valkenburg aan de Geul";213;59;54;17
"2019";"Valkenburg aan de Geul";229;65;48;20
"2020";"Valkenburg aan de Geul";244;53;54;18
"2018";"Valkenisse";;;;
"2019";"Valkenisse";;;;
"2020";"Valkenisse";;;;
"2018";"Valkenswaard";356;107;108;34
"2019";"Valkenswaard";357;118;103;21
"2020";"Valkenswaard";390;90;84;27
"2018";"Veendam";309;89;94;23
"2019";"Veendam";318;103;87;27
"2020";"Veendam";310;98;83;21
"2018";"Veenendaal";515;163;139;52
"2019";"Veenendaal";497;130;141;44
"2020";"Veenendaal";607;154;145;36
"2018";"Veere";229;79;55;22
"2019";"Veere";223;61;70;11
"2020";"Veere";213;63;57;9
"2018";"Veghel";;;;
"2019";"Veghel";;;;
"2020";"Veghel";;;;
"2018";"Veldhoven";367;128;93;28
"2019";"Veldhoven";384;136;89;30
"2020";"Veldhoven";405;115;84;23
"2018";"Velsen";667;189;167;65
"2019";"Velsen";702;208;167;74
"2020";"Velsen";762;195;177;45
"2018";"Venhuizen";;;;
"2019";"Venhuizen";;;;
"2020";"Venhuizen";;;;
"2018";"Venlo";970;318;238;89
"2019";"Venlo";971;316;238;89
"2020";"Venlo";1039;313;205;79
"2018";"Venray";363;116;94;34
"2019";"Venray";359;118;81;26
"2020";"Venray";416;116;101;29
"2018";"Vessem, Wintelre en Knegsel";;;;
"2019";"Vessem, Wintelre en Knegsel";;;;
"2020";"Vessem, Wintelre en Knegsel";;;;
"2018";"Vianen";190;44;39;18
"2019";"Vianen";;;;
"2020";"Vianen";;;;
"2018";"Vierlingsbeek";;;;
"2019";"Vierlingsbeek";;;;
"2020";"Vierlingsbeek";;;;
"2018";"Vijfheerenlanden";;;;
"2019";"Vijfheerenlanden";531;155;130;39
"2020";"Vijfheerenlanden";613;158;137;22
"2018";"Vlaardingen";773;243;205;70
"2019";"Vlaardingen";809;262;202;60
"2020";"Vlaardingen";830;222;180;51
"2018";"Vlagtwedde";;;;
"2019";"Vlagtwedde";;;;
"2020";"Vlagtwedde";;;;
"2018";"Vledder";;;;
"2019";"Vledder";;;;
"2020";"Vledder";;;;
"2018";"Vleuten-De Meern";;;;
"2019";"Vleuten-De Meern";;;;
"2020";"Vleuten-De Meern";;;;
"2018";"Vlieland";11;3;3;2
"2019";"Vlieland";11;3;6;0
"2020";"Vlieland";11;7;1;0
"2018";"Vlijmen";;;;
"2019";"Vlijmen";;;;
"2020";"Vlijmen";;;;
"2018";"Vlissingen";530;168;111;39
"2019";"Vlissingen";458;135;116;30
"2020";"Vlissingen";536;177;122;25
"2018";"Vlist";;;;
"2019";"Vlist";;;;
"2020";"Vlist";;;;
"2018";"Voerendaal";109;43;33;12
"2019";"Voerendaal";121;40;33;12
"2020";"Voerendaal";147;46;34;6
"2018";"Voorburg";;;;
"2019";"Voorburg";;;;
"2020";"Voorburg";;;;
"2018";"Voorhout";;;;
"2019";"Voorhout";;;;
"2020";"Voorhout";;;;
"2018";"Voorschoten";266;90;60;18
"2019";"Voorschoten";235;69;53;20
"2020";"Voorschoten";283;85;51;20
"2018";"Voorst";257;78;51;30
"2019";"Voorst";251;61;77;18
"2020";"Voorst";243;80;56;14
"2018";"Vorden";;;;
"2019";"Vorden";;;;
"2020";"Vorden";;;;
"2018";"Vries";;;;
"2019";"Vries";;;;
"2020";"Vries";;;;
"2018";"Vriezenveen";;;;
"2019";"Vriezenveen";;;;
"2020";"Vriezenveen";;;;
"2018";"Vught";302;76;75;20
"2019";"Vught";295;88;59;28
"2020";"Vught";370;84;70;21
"2018";"Waadhoeke";465;148;128;32
"2019";"Waadhoeke";439;156;127;30
"2020";"Waadhoeke";450;129;108;23
"2018";"Waalre";154;49;40;16
"2019";"Waalre";172;50;42;11
"2020";"Waalre";179;53;36;19
"2018";"Waalwijk";528;186;128;49
"2019";"Waalwijk";438;129;121;36
"2020";"Waalwijk";550;152;111;25
"2018";"Waddinxveen";196;85;49;11
"2019";"Waddinxveen";194;66;46;19
"2020";"Waddinxveen";194;70;47;8
"2018";"Wageningen";415;94;123;36
"2019";"Wageningen";395;96;83;37
"2020";"Wageningen";437;95;95;29
"2018";"Warmond";;;;
"2019";"Warmond";;;;
"2020";"Warmond";;;;
"2018";"Warnsveld";;;;
"2019";"Warnsveld";;;;
"2020";"Warnsveld";;;;
"2018";"Waspik";;;;
"2019";"Waspik";;;;
"2020";"Waspik";;;;
"2018";"Wassenaar";325;77;83;23
"2019";"Wassenaar";345;71;82;38
"2020";"Wassenaar";362;87;85;17
"2018";"Wateringen";;;;
"2019";"Wateringen";;;;
"2020";"Wateringen";;;;
"2018";"Waterland";163;53;35;12
"2019";"Waterland";156;58;36;16
"2020";"Waterland";182;61;39;11
"2018";"Weerselo";;;;
"2019";"Weerselo";;;;
"2020";"Weerselo";;;;
"2018";"Weert";473;149;99;47
"2019";"Weert";504;151;134;41
"2020";"Weert";579;176;130;37
"2018";"Weesp";181;48;41;14
"2019";"Weesp";225;70;44;10
"2020";"Weesp";227;47;50;15
"2018";"Wehl";;;;
"2019";"Wehl";;;;
"2020";"Wehl";;;;
"2018";"Werkendam";197;57;59;13
"2019";"Werkendam";;;;
"2020";"Werkendam";;;;
"2018";"Wervershoof";;;;
"2019";"Wervershoof";;;;
"2020";"Wervershoof";;;;
"2018";"West Betuwe";;;;
"2019";"West Betuwe";368;104;107;28
"2020";"West Betuwe";502;130;100;32
"2018";"West Maas en Waal";185;57;45;21
"2019";"West Maas en Waal";177;59;46;10
"2020";"West Maas en Waal";212;54;53;17
"2018";"Westerbork";;;;
"2019";"Westerbork";;;;
"2020";"Westerbork";;;;
"2018";"Westerhoven";;;;
"2019";"Westerhoven";;;;
"2020";"Westerhoven";;;;
"2018";"Wester-Koggenland";;;;
"2019";"Wester-Koggenland";;;;
"2020";"Wester-Koggenland";;;;
"2018";"Westerkwartier";;;;
"2019";"Westerkwartier";562;183;143;53
"2020";"Westerkwartier";592;172;145;41
"2018";"Westerschouwen";;;;
"2019";"Westerschouwen";;;;
"2020";"Westerschouwen";;;;
"2018";"Westerveld";216;62;51;18
"2019";"Westerveld";234;86;54;11
"2020";"Westerveld";242;71;76;18
"2018";"Westervoort";121;36;32;9
"2019";"Westervoort";105;42;17;14
"2020";"Westervoort";139;32;29;9
"2018";"Westerwolde";318;101;85;23
"2019";"Westerwolde";293;81;82;28
"2020";"Westerwolde";306;87;85;19
"2018";"Westkapelle";;;;
"2019";"Westkapelle";;;;
"2020";"Westkapelle";;;;
"2018";"Westland";782;237;187;65
"2019";"Westland";775;246;187;63
"2020";"Westland";962;292;182;56
"2018";"Weststellingwerf";296;86;86;28
"2019";"Weststellingwerf";286;84;86;23
"2020";"Weststellingwerf";330;88;93;27
"2018";"Westvoorne";163;50;35;11
"2019";"Westvoorne";160;52;42;10
"2020";"Westvoorne";175;55;40;12
"2018";"Wierden";215;65;61;24
"2019";"Wierden";222;63;58;23
"2020";"Wierden";220;65;55;8
"2018";"Wieringen";;;;
"2019";"Wieringen";;;;
"2020";"Wieringen";;;;
"2018";"Wieringermeer";;;;
"2019";"Wieringermeer";;;;
"2020";"Wieringermeer";;;;
"2018";"Wijchen";342;113;67;28
"2019";"Wijchen";346;124;66;31
"2020";"Wijchen";410;123;79;27
"2018";"Wijdemeren";252;94;50;22
"2019";"Wijdemeren";270;95;68;20
"2020";"Wijdemeren";251;79;67;18
"2018";"Wijhe";;;;
"2019";"Wijhe";;;;
"2020";"Wijhe";;;;
"2018";"De Wijk";;;;
"2019";"De Wijk";;;;
"2020";"De Wijk";;;;
"2018";"Wijk bij Duurstede";193;72;42;16
"2019";"Wijk bij Duurstede";166;61;41;13
"2020";"Wijk bij Duurstede";183;69;28;11
"2018";"Willemstad";;;;
"2019";"Willemstad";;;;
"2020";"Willemstad";;;;
"2018";"Winschoten";;;;
"2019";"Winschoten";;;;
"2020";"Winschoten";;;;
"2018";"Winsum";144;45;38;9
"2019";"Winsum";;;;
"2020";"Winsum";;;;
"2018";"Winterswijk";302;82;75;35
"2019";"Winterswijk";299;80;80;33
"2020";"Winterswijk";314;78;95;14
"2018";"Wisch";;;;
"2019";"Wisch";;;;
"2020";"Wisch";;;;
"2018";"Wittem";;;;
"2019";"Wittem";;;;
"2020";"Wittem";;;;
"2018";"Woensdrecht";186;56;42;20
"2019";"Woensdrecht";213;77;49;15
"2020";"Woensdrecht";226;68;45;11
"2018";"Woerden";376;108;89;32
"2019";"Woerden";402;113;103;32
"2020";"Woerden";439;132;87;28
"2018";"Wognum";;;;
"2019";"Wognum";;;;
"2020";"Wognum";;;;
"2018";"De Wolden";275;93;75;20
"2019";"De Wolden";226;89;63;13
"2020";"De Wolden";268;75;76;12
"2018";"Wormerland";149;51;28;11
"2019";"Wormerland";123;46;34;7
"2020";"Wormerland";155;43;32;7
"2018";"Woudenberg";134;41;28;16
"2019";"Woudenberg";106;45;19;8
"2020";"Woudenberg";119;34;30;8
"2018";"Woudrichem";141;36;36;11
"2019";"Woudrichem";;;;
"2020";"Woudrichem";;;;
"2018";"Wouw";;;;
"2019";"Wouw";;;;
"2020";"Wouw";;;;
"2018";"Wûnseradiel";;;;
"2019";"Wûnseradiel";;;;
"2020";"Wûnseradiel";;;;
"2018";"Wymbritseradiel";;;;
"2019";"Wymbritseradiel";;;;
"2020";"Wymbritseradiel";;;;
"2018";"Zaanstad";1309;417;302;114
"2019";"Zaanstad";1267;369;289;115
"2020";"Zaanstad";1561;397;324;85
"2018";"Zaltbommel";203;80;46;19
"2019";"Zaltbommel";210;85;46;13
"2020";"Zaltbommel";251;73;52;16
"2018";"Zandvoort";238;65;64;12
"2019";"Zandvoort";226;67;51;22
"2020";"Zandvoort";234;64;41;16
"2018";"Zederik";130;36;32;16
"2019";"Zederik";;;;
"2020";"Zederik";;;;
"2018";"Zeevang";;;;
"2019";"Zeevang";;;;
"2020";"Zeevang";;;;
"2018";"Zeewolde";110;50;21;7
"2019";"Zeewolde";103;36;26;8
"2020";"Zeewolde";115;41;17;5
"2018";"Zeist";716;184;196;69
"2019";"Zeist";742;192;187;63
"2020";"Zeist";791;197;155;66
"2018";"Zelhem";;;;
"2019";"Zelhem";;;;
"2020";"Zelhem";;;;
"2018";"Zevenaar";424;146;89;39
"2019";"Zevenaar";464;147;132;46
"2020";"Zevenaar";481;152;107;37
"2018";"Zevenbergen";;;;
"2019";"Zevenbergen";;;;
"2020";"Zevenbergen";;;;
"2018";"Zevenhuizen-Moerkapelle";;;;
"2019";"Zevenhuizen-Moerkapelle";;;;
"2020";"Zevenhuizen-Moerkapelle";;;;
"2018";"Zierikzee";;;;
"2019";"Zierikzee";;;;
"2020";"Zierikzee";;;;
"2018";"Zijpe";;;;
"2019";"Zijpe";;;;
"2020";"Zijpe";;;;
"2018";"Zoetermeer";919;335;188;79
"2019";"Zoetermeer";903;342;196;72
"2020";"Zoetermeer";1002;300;224;60
"2018";"Zoeterwoude";79;25;24;6
"2019";"Zoeterwoude";68;17;14;8
"2020";"Zoeterwoude";82;23;17;4
"2018";"Zuidhorn";160;44;40;7
"2019";"Zuidhorn";;;;
"2020";"Zuidhorn";;;;
"2018";"Zuidlaren";;;;
"2019";"Zuidlaren";;;;
"2020";"Zuidlaren";;;;
"2018";"Zuidplas";320;125;66;25
"2019";"Zuidplas";273;82;62;19
"2020";"Zuidplas";342;112;58;24
"2018";"Zuidwolde";;;;
"2019";"Zuidwolde";;;;
"2020";"Zuidwolde";;;;
"2018";"Zundert";232;61;66;25
"2019";"Zundert";234;56;63;21
"2020";"Zundert";245;56;62;14
"2018";"Zutphen";465;145;99;59
"2019";"Zutphen";498;148;126;43
"2020";"Zutphen";469;127;103;41
"2018";"Zwartewaterland";155;44;46;14
"2019";"Zwartewaterland";175;60;52;14
"2020";"Zwartewaterland";203;54;41;6
"2018";"Zwartsluis";;;;
"2019";"Zwartsluis";;;;
"2020";"Zwartsluis";;;;
"2018";"Zweeloo";;;;
"2019";"Zweeloo";;;;
"2020";"Zweeloo";;;;
"2018";"Zwijndrecht";470;168;102;32
"2019";"Zwijndrecht";471;154;121;32
"2020";"Zwijndrecht";558;142;123;32
"2018";"Zwolle";988;287;266;74
"2019";"Zwolle";953;294;258;65
"2020";"Zwolle";1036;278;228;58
